id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,start-position,end-position
1102010,"ENSG00000182053",93849,"AC084851.1","Putative tripartite motif-containing protein 49B",283116,"11","n/a","n/a"
1088281,"ENSG00000078053",270,"AMPH","amphiphysin",273,"7","n/a","n/a"
1105865,"ENSG00000213465",399,"ARL2","ADP-ribosylation factor-like 2",402,"11","n/a","n/a"
1101965,"ENSG00000181790",572,"BAI1","brain-specific angiogenesis inhibitor 1",575,"8","n/a","n/a"
1092096,"ENSG00000121753",573,"BAI2","brain-specific angiogenesis inhibitor 2",576,"1","n/a","n/a"
1093954,"ENSG00000135298",574,"BAI3","brain-specific angiogenesis inhibitor 3",577,"6","n/a","n/a"
1094237,"ENSG00000136717",271,"BIN1","bridging integrator 1",274,"2","n/a","n/a"
1090728,"ENSG00000110934",30892,"BIN2","bridging integrator 2",51411,"12","n/a","n/a"
1095899,"ENSG00000147439",35196,"BIN3","bridging integrator 3",55909,"8","n/a","n/a"
1098176,"ENSG00000164061",8848,"BSN","bassoon (presynaptic cytomatrix protein)",8927,"3","n/a","n/a"
1091801,"ENSG00000119411",34125,"BSPRY","B-box and SPRY domain containing",54836,"9","n/a","n/a"
1102280,"ENSG00000183186",79158,"C2CD4C","C2 calcium-dependent domain containing 4C",126567,"19","n/a","n/a"
1097838,"ENSG00000162994",79410,"C2orf63","chromosome 2 open reading frame 63",130162,"2","n/a","n/a"
1095104,"ENSG00000141837",157123373,"CACNA1A","calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",100507353,"19","n/a","n/a"
1096019,"ENSG00000148408",770,"CACNA1B","calcium channel, voltage-dependent, N type, alpha 1B subunit",774,"9","n/a","n/a"
1096287,"ENSG00000151067",771,"CACNA1C","calcium channel, voltage-dependent, L type, alpha 1C subunit",775,"12","n/a","n/a"
1097040,"ENSG00000157388",772,"CACNA1D","calcium channel, voltage-dependent, L type, alpha 1D subunit",776,"3","n/a","n/a"
1104546,"ENSG00000198216",773,"CACNA1E","calcium channel, voltage-dependent, R type, alpha 1E subunit",777,"1","n/a","n/a"
1089490,"ENSG00000102001",774,"CACNA1F","calcium channel, voltage-dependent, L type, alpha 1F subunit",778,"X","n/a","n/a"
1086996,"ENSG00000006283",8834,"CACNA1G","calcium channel, voltage-dependent, T type, alpha 1G subunit",8913,"17","n/a","n/a"
1103985,"ENSG00000196557",8833,"CACNA1H","calcium channel, voltage-dependent, T type, alpha 1H subunit",8912,"16","n/a","n/a"
1089155,"ENSG00000100346",8832,"CACNA1I","calcium channel, voltage-dependent, T type, alpha 1I subunit",8911,"22","n/a","n/a"
